,HomePriceIndex,ConsumerPriceIndex,GDP,MedianHouseholdIncome,S&P500,DowJones,HomePriceIndex_Lag1,S&P500_Lag1,DowJones_Lag1,HomePriceIndex_Lag2,S&P500_Lag2,DowJones_Lag2,HomePriceIndex_Lag3,S&P500_Lag3,DowJones_Lag3,HomePriceIndex_RollMean3,CPI_MedianIncome,GDP_HousingStarts,SP500_MortgageRate,DowJones_MortgageRate
2008-12-30,153.618,211.398,14608.209,50300.0,890.6400146484375,8668.3896484375,153.618,869.4199829101562,8483.9296875,153.618,872.7999877929688,8515.5498046875,153.618,868.1500244140625,8468.48046875,153.618,10633319.4,8180597.04,4577.889675292969,44555.522792968746
2008-12-31,153.618,211.398,14608.209,50300.0,903.25,8776.3896484375,153.618,890.6400146484375,8668.3896484375,153.618,869.4199829101562,8483.9296875,153.618,872.7999877929688,8515.5498046875,153.618,10633319.4,8180597.04,4606.575,44759.58720703125
2009-01-01,151.506,211.933,14430.902,49780.0,903.25,8776.3896484375,153.618,903.25,8776.3896484375,153.618,890.6400146484375,8668.3896484375,153.618,869.4199829101562,8483.9296875,152.91400000000002,10550024.74,7071141.98,4606.575,44759.58720703125
2009-01-02,151.506,211.933,14430.902,49780.0,931.7999877929688,9034.6904296875,151.506,903.25,8776.3896484375,153.618,903.25,8776.3896484375,153.618,890.6400146484375,8668.3896484375,152.21,10550024.74,7071141.98,4752.17993774414,46076.92119140625
2009-01-05,151.506,211.933,14430.902,49780.0,927.4500122070312,8952.8896484375,151.506,931.7999877929688,9034.6904296875,151.506,903.25,8776.3896484375,153.618,903.25,8776.3896484375,151.506,10550024.74,7071141.98,4729.995062255859,45659.73720703125
2009-01-06,151.506,211.933,14430.902,49780.0,934.7000122070312,9015.099609375,151.506,927.4500122070312,8952.8896484375,151.506,931.7999877929688,9034.6904296875,151.506,903.25,8776.3896484375,151.506,10550024.74,7071141.98,4766.970062255859,45977.008007812496
2009-01-07,151.506,211.933,14430.902,49780.0,906.6500244140625,8769.7001953125,151.506,934.7000122070312,9015.099609375,151.506,927.4500122070312,8952.8896484375,151.506,931.7999877929688,9034.6904296875,151.506,10550024.74,7071141.98,4623.915124511718,44725.47099609375
2009-01-08,151.506,211.933,14430.902,49780.0,909.72998046875,8742.4599609375,151.506,906.6500244140625,8769.7001953125,151.506,934.7000122070312,9015.099609375,151.506,927.4500122070312,8952.8896484375,151.506,10550024.74,7071141.98,4557.747202148437,43799.724404296874
2009-01-09,151.506,211.933,14430.902,49780.0,890.3499755859375,8599.1796875,151.506,909.72998046875,8742.4599609375,151.506,906.6500244140625,8769.7001953125,151.506,934.7000122070312,9015.099609375,151.506,10550024.74,7071141.98,4460.653377685547,43081.890234375
2009-01-12,151.506,211.933,14430.902,49780.0,870.260009765625,8473.9697265625,151.506,890.3499755859375,8599.1796875,151.506,909.72998046875,8742.4599609375,151.506,906.6500244140625,8769.7001953125,151.506,10550024.74,7071141.98,4360.002648925781,42454.58833007812
2009-01-13,151.506,211.933,14430.902,49780.0,871.7899780273438,8448.5595703125,151.506,870.260009765625,8473.9697265625,151.506,890.3499755859375,8599.1796875,151.506,909.72998046875,8742.4599609375,151.506,10550024.74,7071141.98,4367.667789916992,42327.283447265625
2009-01-14,151.506,211.933,14430.902,49780.0,842.6199951171875,8200.1396484375,151.506,871.7899780273438,8448.5595703125,151.506,870.260009765625,8473.9697265625,151.506,890.3499755859375,8599.1796875,151.506,10550024.74,7071141.98,4221.526175537109,41082.699638671875
2009-01-15,151.506,211.933,14430.902,49780.0,843.739990234375,8212.490234375,151.506,842.6199951171875,8200.1396484375,151.506,871.7899780273438,8448.5595703125,151.506,870.260009765625,8473.9697265625,151.506,10550024.74,7071141.98,4184.9503515625,40733.9515625
2009-01-16,151.506,211.933,14430.902,49780.0,850.1199951171875,8281.2197265625,151.506,843.739990234375,8212.490234375,151.506,842.6199951171875,8200.1396484375,151.506,871.7899780273438,8448.5595703125,151.506,10550024.74,7071141.98,4216.59517578125,41074.84984375
2009-01-20,151.506,211.933,14430.902,49780.0,805.219970703125,7949.08984375,151.506,850.1199951171875,8281.2197265625,151.506,843.739990234375,8212.490234375,151.506,842.6199951171875,8200.1396484375,151.506,10550024.74,7071141.98,3993.8910546875,39427.485625
2009-01-21,151.506,211.933,14430.902,49780.0,840.239990234375,8228.099609375,151.506,805.219970703125,7949.08984375,151.506,850.1199951171875,8281.2197265625,151.506,843.739990234375,8212.490234375,151.506,10550024.74,7071141.98,4167.5903515625,40811.3740625
2009-01-22,151.506,211.933,14430.902,49780.0,827.5,8122.7998046875,151.506,840.239990234375,8228.099609375,151.506,805.219970703125,7949.08984375,151.506,850.1199951171875,8281.2197265625,151.506,10550024.74,7071141.98,4236.8,41588.735
2009-01-23,151.506,211.933,14430.902,49780.0,831.9500122070312,8077.56005859375,151.506,827.5,8122.7998046875,151.506,840.239990234375,8228.099609375,151.506,805.219970703125,7949.08984375,151.506,10550024.74,7071141.98,4259.5840625,41357.1075
2009-01-26,151.506,211.933,14430.902,49780.0,836.5700073242188,8116.02978515625,151.506,831.9500122070312,8077.56005859375,151.506,827.5,8122.7998046875,151.506,840.239990234375,8228.099609375,151.506,10550024.74,7071141.98,4283.2384375,41554.0725
2009-01-27,151.506,211.933,14430.902,49780.0,845.7100219726562,8174.72998046875,151.506,836.5700073242188,8116.02978515625,151.506,831.9500122070312,8077.56005859375,151.506,827.5,8122.7998046875,151.506,10550024.74,7071141.98,4330.0353125,41854.6175
2009-01-28,151.506,211.933,14430.902,49780.0,874.0900268554688,8375.4501953125,151.506,845.7100219726562,8174.72998046875,151.506,836.5700073242188,8116.02978515625,151.506,831.9500122070312,8077.56005859375,151.506,10550024.74,7071141.98,4475.3409375,42882.305
